"school_permalink","school_name","short_description","description","image_url","homepage_url","created_at","updated_at","headquarters_country","headquarters_city","headquarters_lat","headquarters_lng"
"rwth-aachen-university","RWTH Aachen University","RWTH Aachen is the leading German University in third party funding and has a strong technology transfer track record.","RWTH Aachen University is a research university of technology located in Aachen, North Rhine-Westphalia, Germany. With over 40,000 students enrolled in 130 study programs, it is the largest technical university in Germany.The institution maintains close links to industry and accounts for the highest amount of third-party funds of all German universities in both absolute and relative terms per faculty member.","http://public.crunchbase.com/t_api_images/v1398591255/rjaxsgysfhqsw5dxfje1.png","http://www.rwth-aachen.de/lang/en",2014-04-27,2016-01-16,"Germany","Aachen",50.77664,50.77664
"ryerson-university","Ryerson University","Canada's leader for career-focused university education.","Ryerson is Canada's leader in innovative, career-focused education and a university clearly on the move. It is a distinctly urban university with a focus on innovation and entrepreneurship. Ryerson has a mission to serve societal need and a long-standing commitment to engaging its community.Guided by a bold Academic Plan, an ambitious research agenda, and a Master Plan to revitalize the campus and surrounding neighbourhood, Ryerson is the most applied-to university in Ontario relative to available spaces, and its reputation with business and community leaders continues to rise.Ryerson offers more than 100 undergraduate and graduate programs. Culturally diverse and inclusive, the university is home to 38,950 students, including 2,300 master's and PhD students, nearly 2,700 faculty and staff, and more than 140,000 alumni worldwide. Research at Ryerson is on a trajectory of success and growth: externally funded research has doubled in the past four years. The G. Raymond Chang School of Continuing Education is Canada's leading provider of university-based adult education. The university's focus on innovation and entrepreneurship is represented most distinctly by the Digital Media Zone, a place for students to collaborate and bring their digital ideas to the marketplace.Ryerson is reshaping the downtown core of Toronto with three new buildings: the Mattamy Athletic Centre at the Gardens, the Ryerson Image Centre in the heart of campus, and a Student Learning Centre on Yonge Street. In addition, a Health Sciences building is in the planning stages.","http://public.crunchbase.com/t_api_images/v1408379991/hdx1fzzi698817141awo.png","http://www.ryerson.ca/",2014-04-20,2016-01-26,"Canada","Toronto",43.70011,43.70011
"s-p-jain-school-of-global-management","S P Jain School of Global Management",NA,NA,NA,"http://www.spjain.org",2014-04-20,2015-09-07,NA,NA,NA,NA
"s-i-newhouse-school-of-public-communications","S. I. Newhouse School of Public Communications","The Newhouse School is one of the nation's top schools of communication, preparing students to become leaders in a rapidly changing media la",NA,"http://public.crunchbase.com/t_api_images/v1412773647/bakqpcfam5tbrwdl67q4.jpg","http://newhouse.syr.edu/",2014-04-20,2016-01-12,NA,NA,NA,NA
"s-p-jain-institute-of-management-and-research","S. P. Jain Institute of Management and Research","College",NA,"http://public.crunchbase.com/t_api_images/http://upload.wikimedia.org/wikipedia/en/thumb/9/96/Spjain_logo.png/150px-Spjain_logo.png","http://www.spjimr.org",2014-04-20,2016-01-25,NA,NA,NA,NA
"saarland-university","Saarland University","Saarland University is a modern university within the Saar-Lor-Lux region – a dynamic part of Europe defined by the shared borders between","Saarland University is a modern university within the Saar-Lor-Lux region – a dynamic part of Europe defined by the shared borders between Germany, France and Luxembourg. An international perspective has been a defining feature of Saarland University ever since it was established in cooperation with France in 1948. Today, 18.500 young people are studying in Saarbrücken and Homburg (faculty of medicine), 17 per cent of whom are international students. Located in a pleasant woodland setting, the university campus offers students and researchers a broad range of sporting and cultural activities, which together with the numerous cafés and restaurants make the campus an ideal place to relax between lectures or after work. And thanks to the high-speed ICE train link it takes only two hours to travel from Saarbrücken to Paris.","http://public.crunchbase.com/t_api_images/v1450778500/btgyxze9yub2inmoyv6b.png","http://www.uni-saarland.de/",2014-04-20,2016-01-19,"Germany","Saarbrücken",49.2354,49.2354
"sa-d-business-school","Saïd Business School","The Oxford Saïd Business School Venture Fund provides entrepreneurs with seed and early-stage capital.","The Entrepreneurship Centre is the focal point for entrepreneurship research, teaching and practice at the University of Oxford. Since 2002, it has brought together academics, spinouts and student-entrepreneurs, for the study and practice of entrepreneurship. It is the gateway to the over 2,000 high-tech companies in and around Oxford and has an extensive international network of almuni. Its programmes and events combine research on and practical teaching of entrepreneurship to support entrepreneurs and high-growth companies.","http://public.crunchbase.com/t_api_images/v1411463067/pmxompf7kqdtwcybnvpd.jpg","http://www.sbs.ox.ac.uk/",2014-04-20,2016-01-02,NA,NA,NA,NA
"st-johns-university-online-school","Saint John's University - Peter J. Tobin College of Business","Welcome to The Peter J. Tobin College of Business at St. John’s University. You are probably on this website because you’re about to make on",NA,"http://public.crunchbase.com/t_api_images/v1435848653/tuhyr3b82wmigboikodl.png","http://www.stjohns.edu/academics/schools-and-colleges/peter-j-tobin-college-business",2014-04-20,2016-02-01,"United States","Queens",38.63369,38.63369
"saint-josephs-university-2","Saint Joseph's University","Saint Joseph's University is a private, coeducational Roman Catholic Jesuit university located in Philadelphia, Pennsylvania.","For 160 years, Saint Joseph’s University has advanced the professional and personal ambitions of men and women by providing a rigorous Jesuit education – one that demands high achievement, expands knowledge, deepens understanding, stresses effective reasoning and communication, develops moral and spiritual character, and imparts enduring pride.For 160 years, Saint Joseph’s University has advanced the professional and personal ambitions of men and women by providing a rigorous Jesuit education – one that demands high achievement, expands knowledge, deepens understanding, stresses effective reasoning and communication, develops moral and spiritual character, and imparts enduring pride.For 160 years, Saint Joseph’s University has advanced the professional and personal ambitions of men and women by providing a rigorous Jesuit education – one that demands high achievement, expands knowledge, deepens understanding, stresses effective reasoning and communication, develops moral and spiritual character, and imparts enduring pride.A Saint Joseph’s education encompasses all aspects of personal growth and development, reflecting the Ignatian credo of cura personalis. Guided by a faculty committed to both teaching and scholarship, students develop intellectually through an intense liberal arts curriculum and advanced study in a chosen discipline. Students mature socially by participating in Saint Joseph’s campus life, noted for its rich variety of activities and infectious enthusiasm. Students grow ethically and spiritually by living their own values in the larger society beyond campus.Located on the edge of metropolitan Philadelphia, Saint Joseph’s University provides ready access to the vast career opportunities and cultural resources of America’s fifth-largest city, while affording students a cohesive and intimate campus experience.","http://public.crunchbase.com/t_api_images/http://www.campusexplorer.com/media/125x94/Saint-Josephs-University-0A8CEDAE.jpg","http://www.sju.edu/",2014-04-20,2016-01-18,"United States","Philadelphia",39.9954,-75.239
"saint-josephs-university","Saint Joseph’s University","For 160 years, Saint Joseph’s University has advanced the professional and personal ambitions of men and women by providing a rigorous Jesui","For 160 years, Saint Joseph’s University has advanced the professional and personal ambitions of men and women by providing a rigorous Jesuit education – one that demands high achievement, expands knowledge, deepens understanding, stresses effective reasoning and communication, develops moral and spiritual character, and imparts enduring pride.A Saint Joseph’s education encompasses all aspects of personal growth and development, reflecting the Ignatian credo of cura personalis. Guided by a faculty committed to both teaching and scholarship, students develop intellectually through an intense liberal arts curriculum and advanced study in a chosen discipline. Students mature socially by participating in Saint Joseph’s campus life, noted for its rich variety of activities and infectious enthusiasm. Students grow ethically and spiritually by living their own values in the larger society beyond campus.Located on the edge of metropolitan Philadelphia, Saint Joseph’s University provides ready access to the vast career opportunities and cultural resources of America’s fifth-largest city, while affording students a cohesive and intimate campus experience.","http://public.crunchbase.com/t_api_images/v1429856788/redmxbp8ikit6skvji0h.png",NA,2013-05-31,2015-12-25,"United States","Philadelphia",39.95233,39.95233
